instruction,expected_output
Could you insert a new IfcDoor in the main entrance that is 2.8 by 1.4 m?,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""add"", ""target_properties"": {""location"": ""main entrance"", ""height"": 2.8, ""width"": 1.4}, ""unit"": ""m""}]}"
Could you insert a new IfcWindow in the second floor that is 2.4 by 1.6 mm?,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""add"", ""target_properties"": {""location"": ""second floor"", ""height"": 2.4, ""width"": 1.6}, ""unit"": ""mm""}]}"
Kindly remove all IfcWindow elements located in the living room area.,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""remove"", ""target_properties"": {""location"": ""living room""}}]}"
Could you insert a new IfcWindow in the second floor that is 2.5 by 1.2 m?,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""add"", ""target_properties"": {""location"": ""second floor"", ""height"": 2.5, ""width"": 1.2}, ""unit"": ""m""}]}"
Could you insert a new IfcDoor in the living room that is 2.8 by 1.6 m?,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""add"", ""target_properties"": {""location"": ""living room"", ""height"": 2.8, ""width"": 1.6}, ""unit"": ""m""}]}"
Could you insert a new IfcWindow in the second floor that is 1.2 by 1.4 mm?,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""add"", ""target_properties"": {""location"": ""second floor"", ""height"": 1.2, ""width"": 1.4}, ""unit"": ""mm""}]}"
Please add a IfcRoof with a slope of 45 degrees above the balcony.,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""add"", ""target_properties"": {""slope"": 45, ""location"": ""balcony""}, ""unit"": ""degrees""}]}"
Could you insert a new IfcWall in the main entrance that is 2.0 by 2.0 mm?,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""add"", ""target_properties"": {""location"": ""main entrance"", ""height"": 2.0, ""width"": 2.0}, ""unit"": ""mm""}]}"
Kindly remove all IfcDoor elements located in the second floor area.,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""remove"", ""target_properties"": {""location"": ""second floor""}}]}"
Could you insert a new IfcDoor in the bathroom that is 2.0 by 2.0 mm?,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""add"", ""target_properties"": {""location"": ""bathroom"", ""height"": 2.0, ""width"": 2.0}, ""unit"": ""mm""}]}"
Kindly remove all IfcWall elements located in the kitchen area.,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""remove"", ""target_properties"": {""location"": ""kitchen""}}]}"
Please add a IfcRoof with a slope of 30 degrees above the bathroom.,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""add"", ""target_properties"": {""slope"": 30, ""location"": ""bathroom""}, ""unit"": ""degrees""}]}"
Kindly remove all IfcWindow elements located in the kitchen area.,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""remove"", ""target_properties"": {""location"": ""kitchen""}}]}"
Kindly remove all IfcWall elements located in the main entrance area.,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""remove"", ""target_properties"": {""location"": ""main entrance""}}]}"
Could you insert a new IfcWindow in the main entrance that is 1.4 by 1.6 mm?,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""add"", ""target_properties"": {""location"": ""main entrance"", ""height"": 1.4, ""width"": 1.6}, ""unit"": ""mm""}]}"
Please add a IfcRoof with a slope of 45 degrees above the bathroom.,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""add"", ""target_properties"": {""slope"": 45, ""location"": ""bathroom""}, ""unit"": ""degrees""}]}"
Kindly remove all IfcWall elements located in the second floor area.,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""remove"", ""target_properties"": {""location"": ""second floor""}}]}"
Could you insert a new IfcWindow in the hallway that is 2.4 by 1.6 m?,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""add"", ""target_properties"": {""location"": ""hallway"", ""height"": 2.4, ""width"": 1.6}, ""unit"": ""m""}]}"
Please add a IfcRoof with a slope of 15 degrees above the bathroom.,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""add"", ""target_properties"": {""slope"": 15, ""location"": ""bathroom""}, ""unit"": ""degrees""}]}"
Could you insert a new IfcWall in the kitchen that is 2.8 by 2.0 mm?,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""add"", ""target_properties"": {""location"": ""kitchen"", ""height"": 2.8, ""width"": 2.0}, ""unit"": ""mm""}]}"
Kindly remove all IfcWindow elements located in the balcony area.,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""remove"", ""target_properties"": {""location"": ""balcony""}}]}"
Could you insert a new IfcWindow in the hallway that is 2.8 by 0.9 m?,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""add"", ""target_properties"": {""location"": ""hallway"", ""height"": 2.8, ""width"": 0.9}, ""unit"": ""m""}]}"
Kindly remove all IfcRoof elements located in the attic area.,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""remove"", ""target_properties"": {""location"": ""attic""}}]}"
Could you insert a new IfcWindow in the main entrance that is 1.4 by 2.0 mm?,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""add"", ""target_properties"": {""location"": ""main entrance"", ""height"": 1.4, ""width"": 2.0}, ""unit"": ""mm""}]}"
Kindly remove all IfcWindow elements located in the kitchen area.,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""remove"", ""target_properties"": {""location"": ""kitchen""}}]}"
Kindly remove all IfcWall elements located in the kitchen area.,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""remove"", ""target_properties"": {""location"": ""kitchen""}}]}"
Could you insert a new IfcWall in the living room that is 1.2 by 1.2 mm?,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""add"", ""target_properties"": {""location"": ""living room"", ""height"": 1.2, ""width"": 1.2}, ""unit"": ""mm""}]}"
Kindly remove all IfcRoof elements located in the attic area.,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""remove"", ""target_properties"": {""location"": ""attic""}}]}"
Kindly remove all IfcWindow elements located in the main entrance area.,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""remove"", ""target_properties"": {""location"": ""main entrance""}}]}"
Please add a IfcRoof with a slope of 30 degrees above the attic.,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""add"", ""target_properties"": {""slope"": 30, ""location"": ""attic""}, ""unit"": ""degrees""}]}"
Kindly remove all IfcDoor elements located in the balcony area.,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""remove"", ""target_properties"": {""location"": ""balcony""}}]}"
Could you insert a new IfcWindow in the living room that is 2.0 by 2.0 mm?,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""add"", ""target_properties"": {""location"": ""living room"", ""height"": 2.0, ""width"": 2.0}, ""unit"": ""mm""}]}"
Could you insert a new IfcDoor in the balcony that is 2.5 by 1.6 m?,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""add"", ""target_properties"": {""location"": ""balcony"", ""height"": 2.5, ""width"": 1.6}, ""unit"": ""m""}]}"
Kindly remove all IfcDoor elements located in the balcony area.,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""remove"", ""target_properties"": {""location"": ""balcony""}}]}"
Please add a IfcRoof with a slope of 15 degrees above the attic.,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""add"", ""target_properties"": {""slope"": 15, ""location"": ""attic""}, ""unit"": ""degrees""}]}"
Please add a IfcRoof with a slope of 45 degrees above the bathroom.,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""add"", ""target_properties"": {""slope"": 45, ""location"": ""bathroom""}, ""unit"": ""degrees""}]}"
Kindly remove all IfcRoof elements located in the balcony area.,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""remove"", ""target_properties"": {""location"": ""balcony""}}]}"
Kindly remove all IfcRoof elements located in the kitchen area.,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""remove"", ""target_properties"": {""location"": ""kitchen""}}]}"
Please add a IfcRoof with a slope of 45 degrees above the bathroom.,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""add"", ""target_properties"": {""slope"": 45, ""location"": ""bathroom""}, ""unit"": ""degrees""}]}"
Could you insert a new IfcDoor in the balcony that is 2.5 by 1.2 mm?,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""add"", ""target_properties"": {""location"": ""balcony"", ""height"": 2.5, ""width"": 1.2}, ""unit"": ""mm""}]}"
Could you insert a new IfcWindow in the attic that is 2.5 by 1.4 m?,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""add"", ""target_properties"": {""location"": ""attic"", ""height"": 2.5, ""width"": 1.4}, ""unit"": ""m""}]}"
Kindly remove all IfcRoof elements located in the bathroom area.,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""remove"", ""target_properties"": {""location"": ""bathroom""}}]}"
Kindly remove all IfcWall elements located in the kitchen area.,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""remove"", ""target_properties"": {""location"": ""kitchen""}}]}"
Please add a IfcRoof with a slope of 15 degrees above the hallway.,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""add"", ""target_properties"": {""slope"": 15, ""location"": ""hallway""}, ""unit"": ""degrees""}]}"
Could you insert a new IfcWall in the second floor that is 1.2 by 1.2 mm?,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""add"", ""target_properties"": {""location"": ""second floor"", ""height"": 1.2, ""width"": 1.2}, ""unit"": ""mm""}]}"
Could you insert a new IfcWindow in the attic that is 2.0 by 1.2 m?,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""add"", ""target_properties"": {""location"": ""attic"", ""height"": 2.0, ""width"": 1.2}, ""unit"": ""m""}]}"
Kindly remove all IfcDoor elements located in the attic area.,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""remove"", ""target_properties"": {""location"": ""attic""}}]}"
Kindly remove all IfcWindow elements located in the bathroom area.,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""remove"", ""target_properties"": {""location"": ""bathroom""}}]}"
Kindly remove all IfcWindow elements located in the living room area.,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""remove"", ""target_properties"": {""location"": ""living room""}}]}"
"Could you remove all IfcStairFlight elements from the third floor, corridor A if they have color black?","{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""remove"", ""target_properties"": {""color"": ""white""}}]}"
"Could you remove all IfcRamp elements from the west facade if they have fire_rating EI60, load_bearing True, steps 12?","{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""remove"", ""target_properties"": {""fire_rating"": ""EI60"", ""load_bearing"": ""True"", ""steps"": 14}}]}"
"Could you remove all IfcStairFlight elements from the main entrance if they have load_bearing True, width standard size?","{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""remove"", ""target_properties"": {""load_bearing"": ""True"", ""width"": ""48 inches""}}]}"
"Would it be possible to update the IfcRamp in the main entrance to have sound_insulation Class A, width 120cm, fire_rating REI90?","{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""modify"", ""target_properties"": {""sound_insulation"": ""Class B"", ""width"": ""standard size"", ""fire_rating"": ""none""}}]}"
"Please add a new IfcRamp in the near stairwell with material steel, width 1.2m, steps 14.","{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""add"", ""target_properties"": {""material"": ""steel"", ""width"": ""120cm"", ""steps"": 12}}]}"
"Would it be possible to update the IfcStairFlight in the third floor, corridor A to have load_bearing True, width 120cm, steps 16?","{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""modify"", ""target_properties"": {""load_bearing"": ""False"", ""width"": ""48 inches"", ""steps"": 14}}]}"
"Would it be possible to update the IfcRamp in the underground parking to have slope 8%, width 1.2m?","{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""modify"", ""target_properties"": {""slope"": ""10%"", ""width"": ""standard size""}}]}"
"Could you remove all IfcRamp elements from the main entrance if they have steps 14, material concrete?","{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""remove"", ""target_properties"": {""steps"": 14, ""material"": ""concrete""}}]}"
"Could you remove all IfcStairFlight elements from the near stairwell if they have steps 12, slope 8%?","{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""remove"", ""target_properties"": {""steps"": 12, ""slope"": ""8%""}}]}"
"Would it be possible to update the IfcRamp in the behind elevator shaft to have fire_rating none, load_bearing False, color white?","{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""modify"", ""target_properties"": {""fire_rating"": ""none"", ""load_bearing"": ""False"", ""color"": ""white""}}]}"
Please add a new IfcRamp in the behind elevator shaft with thermal_transmittance 0.8.,"{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""add"", ""target_properties"": {""thermal_transmittance"": ""0.8""}}]}"
"Please add a new IfcRamp in the underground parking with fire_rating REI90, sound_insulation Class B, color white.","{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""add"", ""target_properties"": {""fire_rating"": ""EI60"", ""sound_insulation"": ""Class A"", ""color"": ""gray""}}]}"
"Please add a new IfcRamp in the third floor, corridor A with color white.","{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""add"", ""target_properties"": {""color"": ""white""}}]}"
"Would it be possible to update the IfcRamp in the underground parking to have color white, material aluminum?","{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""modify"", ""target_properties"": {""color"": ""black"", ""material"": ""aluminum""}}]}"
"Please add a new IfcStairFlight in the third floor, corridor A with color white, steps 16, fire_rating none.","{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""add"", ""target_properties"": {""color"": ""black"", ""steps"": 16, ""fire_rating"": ""none""}}]}"
"Could you remove all IfcRamp elements from the near stairwell if they have slope 10%, width standard size?","{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""remove"", ""target_properties"": {""slope"": ""10%"", ""width"": ""120cm""}}]}"
Would it be possible to update the IfcStairFlight in the near stairwell to have width 48 inches?,"{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""modify"", ""target_properties"": {""width"": ""48 inches""}}]}"
Would it be possible to update the IfcRamp in the west facade to have steps 12?,"{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""modify"", ""target_properties"": {""steps"": 12}}]}"
Please add a new IfcRamp in the roof access with width 48 inches.,"{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""add"", ""target_properties"": {""width"": ""48 inches""}}]}"
"Please add a new IfcRamp in the third floor, corridor A with steps 12, slope 8%.","{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""add"", ""target_properties"": {""steps"": 12, ""slope"": ""6%""}}]}"
"Could you remove all IfcRamp elements from the roof access if they have fire_rating EI60, thermal_transmittance 0.8?","{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""remove"", ""target_properties"": {""fire_rating"": ""REI90"", ""thermal_transmittance"": ""1.2""}}]}"
"Would it be possible to update the IfcStairFlight in the main entrance to have material aluminum, slope 10%?","{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""modify"", ""target_properties"": {""material"": ""concrete"", ""slope"": ""8%""}}]}"
"Could you remove all IfcRamp elements from the behind elevator shaft if they have width standard size, sound_insulation Class B?","{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""remove"", ""target_properties"": {""width"": ""48 inches"", ""sound_insulation"": ""Class A""}}]}"
"Could you remove all IfcStairFlight elements from the roof access if they have width 1.2m, color black?","{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""remove"", ""target_properties"": {""width"": ""48 inches"", ""color"": ""black""}}]}"
Could you remove all IfcRamp elements from the main entrance if they have material aluminum?,"{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""remove"", ""target_properties"": {""material"": ""concrete""}}]}"
Could you remove all IfcStairFlight elements from the west facade if they have slope 8%?,"{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""remove"", ""target_properties"": {""slope"": ""6%""}}]}"
"Would it be possible to update the IfcRamp in the third floor, corridor A to have fire_rating none, thermal_transmittance 0.8, steps 16?","{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""modify"", ""target_properties"": {""fire_rating"": ""none"", ""thermal_transmittance"": ""0.8"", ""steps"": 12}}]}"
Could you remove all IfcRamp elements from the underground parking if they have load_bearing True?,"{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""remove"", ""target_properties"": {""load_bearing"": ""True""}}]}"
"Please add a new IfcStairFlight in the main entrance with slope 8%, fire_rating REI90, sound_insulation Class A.","{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""add"", ""target_properties"": {""slope"": ""10%"", ""fire_rating"": ""REI90"", ""sound_insulation"": ""Class B""}}]}"
"Please add a new IfcRamp in the main entrance with steps 16, sound_insulation Class A, width 120cm.","{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""add"", ""target_properties"": {""steps"": 16, ""sound_insulation"": ""Class B"", ""width"": ""48 inches""}}]}"
"Would it be possible to update the IfcRamp in the underground parking to have slope 6%, thermal_transmittance 1.2?","{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""modify"", ""target_properties"": {""slope"": ""10%"", ""thermal_transmittance"": ""1.2""}}]}"
"Could you remove all IfcStairFlight elements from the third floor, corridor A if they have material aluminum, sound_insulation Class A, thermal_transmittance 1.2?","{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""remove"", ""target_properties"": {""material"": ""concrete"", ""sound_insulation"": ""Class B"", ""thermal_transmittance"": ""0.8""}}]}"
Would it be possible to update the IfcStairFlight in the behind elevator shaft to have thermal_transmittance 0.8?,"{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""modify"", ""target_properties"": {""thermal_transmittance"": ""1.2""}}]}"
"Could you remove all IfcRamp elements from the third floor, corridor A if they have width 120cm, fire_rating none?","{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""remove"", ""target_properties"": {""width"": ""standard size"", ""fire_rating"": ""REI90""}}]}"
"Please add a new IfcStairFlight in the roof access with color black, width 120cm, fire_rating EI60.","{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""add"", ""target_properties"": {""color"": ""white"", ""width"": ""48 inches"", ""fire_rating"": ""none""}}]}"
Would it be possible to update the IfcRamp in the behind elevator shaft to have sound_insulation Class A?,"{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""modify"", ""target_properties"": {""sound_insulation"": ""Class A""}}]}"
"Could you remove all IfcRamp elements from the main entrance if they have material steel, width standard size?","{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""remove"", ""target_properties"": {""material"": ""aluminum"", ""width"": ""1.2m""}}]}"
"Could you remove all IfcStairFlight elements from the third floor, corridor A if they have material aluminum?","{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""remove"", ""target_properties"": {""material"": ""aluminum""}}]}"
Would it be possible to update the IfcRamp in the main entrance to have slope 8%?,"{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""modify"", ""target_properties"": {""slope"": ""10%""}}]}"
"Could you remove all IfcRamp elements from the near stairwell if they have sound_insulation Class B, material aluminum?","{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""remove"", ""target_properties"": {""sound_insulation"": ""Class B"", ""material"": ""concrete""}}]}"
Would it be possible to update the IfcRamp in the roof access to have material concrete?,"{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""modify"", ""target_properties"": {""material"": ""aluminum""}}]}"
"Could you remove all IfcRamp elements from the third floor, corridor A if they have load_bearing False?","{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""remove"", ""target_properties"": {""load_bearing"": ""True""}}]}"
Could you remove all IfcStairFlight elements from the roof access if they have thermal_transmittance 0.8?,"{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""remove"", ""target_properties"": {""thermal_transmittance"": ""1.2""}}]}"
"Would it be possible to update the IfcStairFlight in the main entrance to have steps 16, sound_insulation Class B, slope 10%?","{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""modify"", ""target_properties"": {""steps"": 14, ""sound_insulation"": ""Class B"", ""slope"": ""10%""}}]}"
"Could you remove all IfcRamp elements from the behind elevator shaft if they have material concrete, steps 12, width standard size?","{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""remove"", ""target_properties"": {""material"": ""aluminum"", ""steps"": 16, ""width"": ""120cm""}}]}"
Please add a new IfcStairFlight in the main entrance with fire_rating none.,"{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""add"", ""target_properties"": {""fire_rating"": ""EI60""}}]}"
Please add a new IfcStairFlight in the west facade with sound_insulation Class B.,"{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""add"", ""target_properties"": {""sound_insulation"": ""Class B""}}]}"
"Would it be possible to update the IfcStairFlight in the roof access to have slope 8%, thermal_transmittance 0.8, steps 12?","{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""modify"", ""target_properties"": {""slope"": ""10%"", ""thermal_transmittance"": ""0.8"", ""steps"": 16}}]}"
Would it be possible to update the IfcRamp in the underground parking to have load_bearing False?,"{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""modify"", ""target_properties"": {""load_bearing"": ""False""}}]}"
Would it be possible to update the IfcRamp in the underground parking to have steps 16?,"{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""modify"", ""target_properties"": {""steps"": 12}}]}"
"Please add a new IfcRamp in the west facade with steps 16, width 48 inches, slope 6%.","{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""add"", ""target_properties"": {""steps"": 14, ""width"": ""1.2m"", ""slope"": ""10%""}}]}"
Would it be possible to update the IfcStairFlight in the behind elevator shaft to have steps 16?,"{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""modify"", ""target_properties"": {""steps"": 16}}]}"
"Would it be possible to update the IfcRamp in the roof access to have material concrete, slope 10%?","{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""modify"", ""target_properties"": {""material"": ""aluminum"", ""slope"": ""6%""}}]}"
Would it be possible to update the IfcRamp in the west facade to have thermal_transmittance 1.2?,"{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""modify"", ""target_properties"": {""thermal_transmittance"": ""0.8""}}]}"
"Would it be possible to update the IfcRamp in the underground parking to have material concrete, load_bearing False?","{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""modify"", ""target_properties"": {""material"": ""steel"", ""load_bearing"": ""False""}}]}"
"Could you remove all IfcRamp elements from the west facade if they have color gray, material concrete, fire_rating none?","{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""remove"", ""target_properties"": {""color"": ""black"", ""material"": ""concrete"", ""fire_rating"": ""EI60""}}]}"
Could you remove all IfcStairFlight elements from the near stairwell if they have thermal_transmittance 0.8?,"{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""remove"", ""target_properties"": {""thermal_transmittance"": ""1.2""}}]}"
"Please add a new IfcRamp in the roof access with steps 16, width standard size.","{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""add"", ""target_properties"": {""steps"": 16, ""width"": ""48 inches""}}]}"
Would it be possible to update the IfcRamp in the main entrance to have material concrete?,"{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""modify"", ""target_properties"": {""material"": ""aluminum""}}]}"
Could you remove all IfcRamp elements from the near stairwell if they have steps 12?,"{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""remove"", ""target_properties"": {""steps"": 12}}]}"
"Would it be possible to update the IfcRamp in the third floor, corridor A to have load_bearing True?","{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""modify"", ""target_properties"": {""load_bearing"": ""True""}}]}"
Could you remove all IfcStairFlight elements from the roof access if they have steps 16?,"{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""remove"", ""target_properties"": {""steps"": 14}}]}"
"Would it be possible to update the IfcRamp in the third floor, corridor A to have width 1.2m?","{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""modify"", ""target_properties"": {""width"": ""120cm""}}]}"
"Please add a new IfcRamp in the third floor, corridor A with slope 10%.","{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""add"", ""target_properties"": {""slope"": ""10%""}}]}"
"Would it be possible to update the IfcStairFlight in the west facade to have fire_rating EI60, thermal_transmittance 1.2, sound_insulation Class B?","{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""modify"", ""target_properties"": {""fire_rating"": ""EI60"", ""thermal_transmittance"": ""1.2"", ""sound_insulation"": ""Class A""}}]}"
"Would it be possible to update the IfcStairFlight in the main entrance to have sound_insulation Class A, width 120cm, load_bearing True?","{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""modify"", ""target_properties"": {""sound_insulation"": ""Class A"", ""width"": ""48 inches"", ""load_bearing"": ""True""}}]}"
"Would it be possible to update the IfcRamp in the third floor, corridor A to have width 1.2m, material steel?","{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""modify"", ""target_properties"": {""width"": ""120cm"", ""material"": ""steel""}}]}"
"Would it be possible to update the IfcStairFlight in the main entrance to have sound_insulation Class B, steps 14, fire_rating none?","{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""modify"", ""target_properties"": {""sound_insulation"": ""Class A"", ""steps"": 14, ""fire_rating"": ""REI90""}}]}"
"Could you remove all IfcRamp elements from the near stairwell if they have sound_insulation Class A, thermal_transmittance 0.8?","{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""remove"", ""target_properties"": {""sound_insulation"": ""Class B"", ""thermal_transmittance"": ""0.8""}}]}"
"Could you remove all IfcStairFlight elements from the main entrance if they have color black, sound_insulation Class B, width 1.2m?","{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""remove"", ""target_properties"": {""color"": ""gray"", ""sound_insulation"": ""Class A"", ""width"": ""1.2m""}}]}"
"Please add a new IfcRamp in the roof access with fire_rating none, sound_insulation Class A, slope 8%.","{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""add"", ""target_properties"": {""fire_rating"": ""none"", ""sound_insulation"": ""Class B"", ""slope"": ""10%""}}]}"
Please add a new IfcStairFlight in the near stairwell with thermal_transmittance 1.2.,"{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""add"", ""target_properties"": {""thermal_transmittance"": ""0.8""}}]}"
Could you remove all IfcRamp elements from the main entrance if they have material concrete?,"{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""remove"", ""target_properties"": {""material"": ""concrete""}}]}"
Could you remove all IfcRamp elements from the underground parking if they have thermal_transmittance 1.2?,"{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""remove"", ""target_properties"": {""thermal_transmittance"": ""0.8""}}]}"
"Could you remove all IfcRamp elements from the third floor, corridor A if they have fire_rating EI60, sound_insulation Class B, steps 16?","{""element_updates"": [{""type"": ""IfcRamp"", ""action"": ""remove"", ""target_properties"": {""fire_rating"": ""REI90"", ""sound_insulation"": ""Class B"", ""steps"": 14}}]}"
"Please add a new IfcStairFlight in the roof access with thermal_transmittance 0.8, steps 12.","{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""add"", ""target_properties"": {""thermal_transmittance"": ""1.2"", ""steps"": 16}}]}"
"Please add a new IfcStairFlight in the third floor, corridor A with color white, load_bearing True.","{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""add"", ""target_properties"": {""color"": ""white"", ""load_bearing"": ""False""}}]}"
"Could you remove all IfcStairFlight elements from the main entrance if they have width 120cm, steps 12, sound_insulation Class B?","{""element_updates"": [{""type"": ""IfcStairFlight"", ""action"": ""remove"", ""target_properties"": {""width"": ""48 inches"", ""steps"": 16, ""sound_insulation"": ""Class B""}}]}"
